,file,label
0,cam01_s09_a04_r02.npy,a04
1,cam01_s12_a07_r05.npy,a07
2,cam01_s01_a11_r05.npy,a11
3,cam01_s09_a06_r05.npy,a06
4,cam01_s07_a10_r01.npy,a10
5,cam01_s05_a11_r03.npy,a11
6,cam01_s07_a03_r01.npy,a03
7,cam01_s05_a01_r04.npy,a01
8,cam01_s12_a06_r04.npy,a06
9,cam01_s09_a01_r04.npy,a01
10,cam01_s03_a02_r01.npy,a02
11,cam01_s11_a08_r01.npy,a08
12,cam01_s02_a01_r04.npy,a01
13,cam01_s01_a04_r03.npy,a04
14,cam01_s11_a02_r01.npy,a02
15,cam01_s03_a09_r01.npy,a09
16,cam01_s05_a11_r01.npy,a11
17,cam01_s07_a01_r03.npy,a01
18,cam01_s12_a06_r03.npy,a06
19,cam01_s03_a08_r05.npy,a08
20,cam01_s02_a09_r02.npy,a09
21,cam01_s02_a07_r02.npy,a07
22,cam01_s07_a06_r04.npy,a06
23,cam01_s11_a04_r02.npy,a04
24,cam01_s01_a10_r03.npy,a10
25,cam01_s11_a06_r03.npy,a06
26,cam01_s01_a09_r01.npy,a09
27,cam01_s05_a04_r01.npy,a04
28,cam01_s09_a01_r03.npy,a01
29,cam01_s03_a01_r03.npy,a01
30,cam01_s01_a07_r04.npy,a07
31,cam01_s01_a05_r03.npy,a05
32,cam01_s12_a10_r05.npy,a10
33,cam01_s07_a03_r04.npy,a03
34,cam01_s12_a02_r03.npy,a02
35,cam01_s09_a04_r04.npy,a04
36,cam01_s05_a10_r02.npy,a10
37,cam01_s02_a11_r03.npy,a11
38,cam01_s12_a09_r01.npy,a09
39,cam01_s09_a02_r05.npy,a02
40,cam01_s03_a07_r02.npy,a07
41,cam01_s12_a03_r01.npy,a03
42,cam01_s07_a05_r04.npy,a05
43,cam01_s11_a10_r03.npy,a10
44,cam01_s05_a07_r02.npy,a07
45,cam01_s05_a07_r03.npy,a07
46,cam01_s03_a02_r02.npy,a02
47,cam01_s09_a04_r01.npy,a04
48,cam01_s02_a08_r04.npy,a08
49,cam01_s05_a01_r01.npy,a01
50,cam01_s05_a05_r03.npy,a05
51,cam01_s02_a02_r03.npy,a02
52,cam01_s01_a03_r05.npy,a03
53,cam01_s12_a05_r03.npy,a05
54,cam01_s09_a11_r01.npy,a11
55,cam01_s03_a04_r02.npy,a04
56,cam01_s11_a07_r01.npy,a07
57,cam01_s12_a05_r01.npy,a05
58,cam01_s11_a06_r02.npy,a06
59,cam01_s07_a01_r05.npy,a01
60,cam01_s02_a02_r01.npy,a02
62,cam01_s03_a02_r03.npy,a02
63,cam01_s07_a11_r01.npy,a11
64,cam01_s07_a09_r03.npy,a09
65,cam01_s12_a09_r03.npy,a09
66,cam01_s09_a11_r02.npy,a11
67,cam01_s03_a06_r04.npy,a06
68,cam01_s02_a09_r05.npy,a09
69,cam01_s03_a02_r04.npy,a02
70,cam01_s07_a10_r05.npy,a10
71,cam01_s11_a03_r03.npy,a03
72,cam01_s09_a08_r04.npy,a08
73,cam01_s12_a11_r04.npy,a11
74,cam01_s03_a11_r01.npy,a11
75,cam01_s09_a02_r04.npy,a02
76,cam01_s02_a06_r05.npy,a06
77,cam01_s09_a10_r05.npy,a10
78,cam01_s01_a05_r05.npy,a05
79,cam01_s09_a07_r02.npy,a07
80,cam01_s07_a02_r02.npy,a02
81,cam01_s05_a05_r02.npy,a05
82,cam01_s07_a07_r03.npy,a07
83,cam01_s05_a11_r04.npy,a11
84,cam01_s12_a11_r05.npy,a11
85,cam01_s11_a01_r02.npy,a01
86,cam01_s03_a09_r03.npy,a09
87,cam01_s02_a04_r04.npy,a04
88,cam01_s09_a01_r05.npy,a01
89,cam01_s07_a09_r05.npy,a09
90,cam01_s01_a08_r02.npy,a08
91,cam01_s01_a06_r04.npy,a06
92,cam01_s03_a03_r04.npy,a03
93,cam01_s01_a07_r02.npy,a07
94,cam01_s09_a09_r03.npy,a09
95,cam01_s11_a10_r05.npy,a10
96,cam01_s01_a04_r02.npy,a04
97,cam01_s09_a06_r02.npy,a06
98,cam01_s03_a10_r02.npy,a10
99,cam01_s12_a02_r05.npy,a02
100,cam01_s05_a01_r03.npy,a01
101,cam01_s03_a10_r03.npy,a10
102,cam01_s12_a10_r04.npy,a10
103,cam01_s12_a07_r02.npy,a07
104,cam01_s12_a04_r01.npy,a04
105,cam01_s12_a07_r01.npy,a07
106,cam01_s05_a10_r04.npy,a10
107,cam01_s07_a01_r02.npy,a01
108,cam01_s11_a09_r01.npy,a09
109,cam01_s05_a06_r03.npy,a06
110,cam01_s07_a03_r03.npy,a03
111,cam01_s12_a01_r02.npy,a01
112,cam01_s01_a09_r05.npy,a09
113,cam01_s09_a09_r05.npy,a09
114,cam01_s12_a02_r04.npy,a02
115,cam01_s11_a02_r02.npy,a02
116,cam01_s05_a11_r02.npy,a11
117,cam01_s02_a05_r01.npy,a05
118,cam01_s01_a06_r01.npy,a06
119,cam01_s05_a03_r02.npy,a03
120,cam01_s02_a03_r05.npy,a03
121,cam01_s07_a05_r03.npy,a05
122,cam01_s07_a08_r03.npy,a08
123,cam01_s05_a02_r01.npy,a02
124,cam01_s05_a02_r03.npy,a02
125,cam01_s01_a05_r01.npy,a05
126,cam01_s01_a03_r01.npy,a03
127,cam01_s03_a05_r02.npy,a05
128,cam01_s11_a07_r05.npy,a07
129,cam01_s07_a04_r01.npy,a04
130,cam01_s03_a04_r03.npy,a04
131,cam01_s11_a03_r04.npy,a03
132,cam01_s02_a06_r03.npy,a06
133,cam01_s02_a03_r02.npy,a03
134,cam01_s09_a11_r05.npy,a11
135,cam01_s05_a09_r03.npy,a09
136,cam01_s12_a05_r04.npy,a05
137,cam01_s01_a04_r05.npy,a04
138,cam01_s11_a05_r02.npy,a05
139,cam01_s12_a03_r02.npy,a03
140,cam01_s09_a03_r02.npy,a03
141,cam01_s03_a09_r05.npy,a09
142,cam01_s12_a06_r01.npy,a06
143,cam01_s02_a11_r05.npy,a11
144,cam01_s05_a08_r03.npy,a08
145,cam01_s09_a07_r03.npy,a07
146,cam01_s05_a03_r04.npy,a03
147,cam01_s01_a02_r01.npy,a02
148,cam01_s11_a01_r03.npy,a01
149,cam01_s01_a08_r04.npy,a08
150,cam01_s11_a07_r02.npy,a07
151,cam01_s11_a08_r05.npy,a08
152,cam01_s01_a10_r02.npy,a10
153,cam01_s05_a09_r02.npy,a09
154,cam01_s03_a07_r05.npy,a07
155,cam01_s05_a06_r05.npy,a06
156,cam01_s01_a10_r05.npy,a10
157,cam01_s03_a06_r05.npy,a06
158,cam01_s07_a05_r01.npy,a05
159,cam01_s09_a08_r01.npy,a08
160,cam01_s05_a05_r01.npy,a05
161,cam01_s09_a05_r04.npy,a05
162,cam01_s03_a04_r05.npy,a04
163,cam01_s11_a01_r04.npy,a01
164,cam01_s11_a09_r04.npy,a09
165,cam01_s07_a07_r02.npy,a07
166,cam01_s03_a01_r01.npy,a01
167,cam01_s02_a05_r05.npy,a05
168,cam01_s07_a04_r03.npy,a04
169,cam01_s09_a10_r04.npy,a10
170,cam01_s11_a06_r04.npy,a06
171,cam01_s11_a10_r02.npy,a10
172,cam01_s11_a09_r03.npy,a09
173,cam01_s01_a02_r04.npy,a02
174,cam01_s12_a07_r03.npy,a07
175,cam01_s12_a07_r04.npy,a07
176,cam01_s01_a05_r04.npy,a05
177,cam01_s03_a01_r02.npy,a01
178,cam01_s11_a10_r01.npy,a10
179,cam01_s12_a03_r05.npy,a03
180,cam01_s07_a10_r03.npy,a10
181,cam01_s11_a06_r05.npy,a06
182,cam01_s02_a06_r04.npy,a06
183,cam01_s01_a06_r05.npy,a06
184,cam01_s09_a09_r01.npy,a09
185,cam01_s05_a02_r05.npy,a02
186,cam01_s07_a03_r05.npy,a03
187,cam01_s03_a04_r04.npy,a04
188,cam01_s09_a06_r04.npy,a06
189,cam01_s01_a03_r03.npy,a03
190,cam01_s02_a09_r03.npy,a09
191,cam01_s01_a11_r02.npy,a11
192,cam01_s12_a10_r02.npy,a10
193,cam01_s05_a10_r01.npy,a10
194,cam01_s07_a07_r04.npy,a07
195,cam01_s07_a10_r04.npy,a10
196,cam01_s07_a04_r04.npy,a04
197,cam01_s11_a05_r01.npy,a05
198,cam01_s07_a11_r03.npy,a11
199,cam01_s09_a02_r02.npy,a02
200,cam01_s11_a02_r04.npy,a02
201,cam01_s12_a08_r03.npy,a08
202,cam01_s07_a11_r02.npy,a11
203,cam01_s12_a04_r03.npy,a04
204,cam01_s07_a07_r05.npy,a07
205,cam01_s11_a06_r01.npy,a06
206,cam01_s01_a02_r03.npy,a02
207,cam01_s07_a02_r04.npy,a02
208,cam01_s05_a02_r02.npy,a02
209,cam01_s02_a02_r05.npy,a02
210,cam01_s11_a05_r05.npy,a05
211,cam01_s03_a03_r05.npy,a03
212,cam01_s02_a02_r02.npy,a02
213,cam01_s02_a10_r05.npy,a10
214,cam01_s03_a10_r05.npy,a10
215,cam01_s05_a07_r01.npy,a07
216,cam01_s07_a04_r05.npy,a04
217,cam01_s05_a06_r02.npy,a06
218,cam01_s09_a05_r02.npy,a05
219,cam01_s07_a06_r05.npy,a06
220,cam01_s05_a08_r04.npy,a08
221,cam01_s01_a08_r01.npy,a08
222,cam01_s09_a04_r05.npy,a04
223,cam01_s03_a10_r01.npy,a10
224,cam01_s01_a08_r03.npy,a08
225,cam01_s09_a03_r03.npy,a03
226,cam01_s03_a08_r03.npy,a08
227,cam01_s11_a04_r04.npy,a04
228,cam01_s11_a02_r05.npy,a02
229,cam01_s05_a07_r05.npy,a07
230,cam01_s11_a11_r05.npy,a11
231,cam01_s11_a01_r01.npy,a01
232,cam01_s05_a04_r03.npy,a04
233,cam01_s05_a08_r01.npy,a08
234,cam01_s02_a01_r05.npy,a01
235,cam01_s07_a11_r04.npy,a11
236,cam01_s01_a01_r05.npy,a01
237,cam01_s11_a05_r04.npy,a05
238,cam01_s09_a09_r04.npy,a09
239,cam01_s02_a10_r03.npy,a10
240,cam01_s01_a09_r03.npy,a09
241,cam01_s02_a01_r03.npy,a01
242,cam01_s07_a10_r02.npy,a10
243,cam01_s03_a09_r04.npy,a09
244,cam01_s03_a10_r04.npy,a10
245,cam01_s05_a09_r04.npy,a09
246,cam01_s11_a07_r04.npy,a07
247,cam01_s02_a05_r02.npy,a05
248,cam01_s07_a06_r03.npy,a06
249,cam01_s03_a11_r03.npy,a11
250,cam01_s05_a09_r01.npy,a09
251,cam01_s12_a01_r05.npy,a01
252,cam01_s07_a06_r01.npy,a06
253,cam01_s12_a09_r04.npy,a09
254,cam01_s01_a01_r04.npy,a01
255,cam01_s07_a02_r03.npy,a02
256,cam01_s01_a09_r02.npy,a09
257,cam01_s02_a04_r03.npy,a04
258,cam01_s05_a03_r05.npy,a03
259,cam01_s02_a03_r03.npy,a03
260,cam01_s02_a04_r05.npy,a04
261,cam01_s09_a07_r04.npy,a07
262,cam01_s02_a10_r02.npy,a10
263,cam01_s09_a10_r02.npy,a10
264,cam01_s05_a03_r01.npy,a03
265,cam01_s03_a09_r02.npy,a09
266,cam01_s05_a06_r01.npy,a06
267,cam01_s12_a05_r02.npy,a05
268,cam01_s11_a11_r03.npy,a11
269,cam01_s03_a11_r02.npy,a11
270,cam01_s11_a09_r05.npy,a09
271,cam01_s01_a02_r02.npy,a02
272,cam01_s09_a10_r01.npy,a10
273,cam01_s01_a08_r05.npy,a08
274,cam01_s03_a06_r02.npy,a06
275,cam01_s09_a05_r01.npy,a05
276,cam01_s03_a03_r03.npy,a03
277,cam01_s12_a03_r04.npy,a03
278,cam01_s09_a06_r01.npy,a06
279,cam01_s03_a03_r02.npy,a03
280,cam01_s07_a02_r01.npy,a02
281,cam01_s03_a01_r05.npy,a01
282,cam01_s11_a11_r02.npy,a11
283,cam01_s05_a04_r04.npy,a04
284,cam01_s07_a01_r01.npy,a01
285,cam01_s01_a03_r02.npy,a03
286,cam01_s05_a07_r04.npy,a07
287,cam01_s03_a03_r01.npy,a03
288,cam01_s01_a07_r05.npy,a07
